source,source_id,name,address,city,neighborhood,lat,lon,clover_url,slug,category,google_rating,review_count,ordering_status,flags
awardhelper,XKB8WW7Y04941,TANGLAD,"469 Castro Street, San Francisco, CA",San Francisco,Castro,37.7614579,-122.434781,https://tanglad-san-francisco.cloveronline.com,tanglad-san-francisco,restaurants,,,,
awardhelper,2M9RN7D3VQ7T1,TAQUERIA EL GRAN AMIGO,"72 B Serramonte Center, Daly City, CALIFORNIA",Daly City,Daly City,37.6716532,-122.4721266,https://taqueria-el-gran-amigo-daly-city-2.cloveronline.com,taqueria-el-gran-amigo-daly-city-2,restaurants,,,,
awardhelper,D478N1R20GBQ1,TAQUERIA EL GRAN AMIGO.,"72 B Serremonte Center, Daly City, CA",Daly City,Daly City,37.6717388,-122.4721787,https://taqueria-el-gran-amigo-daly-city.cloveronline.com,taqueria-el-gran-amigo-daly-city,restaurants,,,,awardhelper:possible-inactive
awardhelper,5MS430S8PGZY1,TAQUERIA LAS PENCAS #1,"319 Baden Ave, South San Francisc, CA",South San Francisco,South San Francisco,37.6543183,-122.4112747,https://taqueria-las-pencas-south-san-francisc.cloveronline.com,taqueria-las-pencas-south-san-francisc,restaurants,,,,
awardhelper,0K4X7DSGW1SR1,TAQUERIA MARGARITA,"493 Pine Street, San Francisco, CA",San Francisco,Financial District,37.7915217,-122.4038895,https://taqueria-margarita-san-francisco.cloveronline.com,taqueria-margarita-san-francisco,restaurants,,,,
awardhelper,HERTD9R6VGQ61,TAQUERIA MI DURANGO,"287 El Camino Real, San Bruno, CA",San Bruno,San Bruno,37.6195412,-122.4106921,https://taqueria-mi-durango-san-bruno.cloveronline.com,taqueria-mi-durango-san-bruno,restaurants,,,,awardhelper:paze-confidence-medium
awardhelper,AJ4XXM1NF6AG1,TED'S DELI INC,"1530 Howard St, San Francisco, CA",San Francisco,South of Market,37.7730148,-122.4163249,https://teds-deli-inc-san-francisco.cloveronline.com,teds-deli-inc-san-francisco,restaurants,,,,
awardhelper,STY7N6G0Q0RV1,The Buoy,"22 Franklin Street, San Francisco, CA",San Francisco,Civic Center,37.7746169,-122.4205282,https://buoy-san-francisco.cloveronline.com,buoy-san-francisco,restaurants,,,,awardhelper:possible-inactive
awardhelper,H4TFZD81EG741,The Front Porch,"65a 29th St, San Francisco, CA",San Francisco,Bernal Heights,37.7438891,-122.4218743,https://the-front-porch-san-francisco.cloveronline.com,the-front-porch-san-francisco,restaurants,,,,awardhelper:paze-confidence-medium
awardhelper,34DW90WCBQNZ1,THE NOODLE HOUSE,"452 Unit 1 Appian Way, Richmond, CA",Richmond,Richmond,37.9712934,-122.3074851,https://the-noodle-house-richmond.cloveronline.com,the-noodle-house-richmond,restaurants,,,,awardhelper:possible-inactive
awardhelper,5Y3XX4ZCN6T5R,The Original Kadoks,"6899 Mission St, Daly City, CA",Daly City,Daly City,37.6970151,-122.4628187,https://kadoks-daly-city-daly-city.cloveronline.com,kadoks-daly-city-daly-city,restaurants,,,,
awardhelper,NVGBBCG3C3791,Tiffany's Cafe,"3801 3rd Street #535, San Francisco, CA",San Francisco,Bayview,37.7419617,-122.3874389,https://tiffanys-cafe-san-francisco.cloveronline.com,tiffanys-cafe-san-francisco,restaurants,,,,
awardhelper,1WFR9AVEK0D61,Tikal Restaurante Y Pan,"5099 Mission Street, San Francisco, CA",San Francisco,Excelsior,37.7172381,-122.4402162,https://tikal-restaurante-y-pan-san-francisco.cloveronline.com,tikal-restaurante-y-pan-san-francisco,restaurants,,,,
awardhelper,SJGRV5201WVT1,TINY SUSHI - OH BABY,"32 Park Plaza Drive, Daly City, CA",Daly City,Daly City,37.7013873,-122.4818401,https://tiny-sushi-oh-baby-daly-city.cloveronline.com,tiny-sushi-oh-baby-daly-city,restaurants,,,,
awardhelper,275XWKY3ZHYDJ,Toot Sweet FrozenYogurt.,"1148 San Carols Ave, San Carlos, CA",San Carlos,San Carlos,37.5070359,-122.2610996,https://tutti-frutti-san-carlos.cloveronline.com,tutti-frutti-san-carlos,restaurants,,,,awardhelper:possible-inactive;coords-outside-area(recovered-by-city+slug)
awardhelper,K536BQH7KKSK1,TRISARA RESTAURANT,"211 Kearny Street, San Francisco, CA",San Francisco,Downtown / Union Square,37.7899659,-122.4041816,https://trisara-restaurant-sanfrancisco.cloveronline.com,trisara-restaurant-sanfrancisco,restaurants,,,,
awardhelper,8R50QV1KRJEH1,Two Cousins Deli,"1331 Old County Road, Belmont, CA",Belmont,Belmont,37.5187156,-122.2718429,https://two-cousins-deli.cloveronline.com,two-cousins-deli,restaurants,,,,coords-outside-area(recovered-by-city)
