name,address,neighborhood,lat,lon,clover_url,category,google_rating,review_count,sources,verified,notes
Toot Sweet FrozenYogurt.,"1148 San Carols Ave, San Carlos, CA",San Carlos,37.507054,-122.261042,https://tutti-frutti-san-carlos.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; coords-outside-area(recovered-by-city+slug); nextcard:ordering-disabled
Trisara Restaurant,211 Kearny St,Downtown / Union Square,37.79011,-122.403728,https://trisara-restaurant-sanfrancisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Two Cousins Deli,1331 Old County Rd,Belmont,37.51879,-122.27169,https://two-cousins-deli.cloveronline.com,restaurants,4.7,,awardhelper+nextcard,,paze-on-storefront=yes; coords-outside-area(recovered-by-city)
Unimart,"1201 Howard Street, San Francisco, CA",South of Market,37.775779,-122.411548,https://unimart-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Union Square Pizza & Kit,"284 O'farrell Street, San Francisco, CA",Downtown / Union Square,37.786388,-122.4095,https://union-square-pizza-kit-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Urbancurry,"1298 Market St, San Francisco, CA",Civic Center,37.777879,-122.416334,https://sangamstar-food-inc-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Van Ness Cafe & Gyros,"826 Van Ness Avenue, San Francisco, CA",Tenderloin,37.783322,-122.420602,https://van-ness-cafe-gyros-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Vcaicero Investment,"437a Grand Ave, S San Fran, CA",South San Francisco,37.655727,-122.414089,https://antigua-coffee-shop-llc-ssf-s-san-fran.cloveronline.com,restaurants,,,awardhelper,,clover-url-dead(unreachable); single-source(awardhelper)
Vega Pizzeria,"419 Cortland Avenue, San Francisco, CA",Bernal Heights,37.739323,-122.41746,https://vega-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Xiloa Cafe,"7370 Mission Street, Daly City, CA",Daly City,37.690354,-122.466063,https://cafe-xiloa-daly-city.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
Ya-Ua Boba,"1090 Alameda De Las Pulg, Belmont, CA",Belmont,37.523095,-122.301794,https://yaua-boba-belmont.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Yarsa Nepalese Cuisine,1310 Grant Ave,North Beach,37.799025,-122.407219,https://yarsa-nepalese-cuisine-san-francisco.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Yifang Taiwan Fruit Tea (Inner Sunset),"645 Irving Street, San Francisco, CA",Inner Sunset,37.763977,-122.46499,https://yifanginnersunset.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
YiFang Taiwan Fruit Tea (Japantown),"1737 Post St # 367, San Francisco, CA",Japantown,37.785126,-122.43029,https://yifangfruittea.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive
Yonkers Cafe,3815 Noriega St,Outer Sunset,37.752833,-122.504694,https://yonkers-cafe-sf.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes
Yoshi Ramen & Sushi,"127h Serramonte Ctr, Daly City, CA",Daly City,37.671053,-122.470365,https://yoshi-ramen-sushi-daly-city.cloveronline.com,restaurants,,,awardhelper+nextcard,,paze-on-storefront=yes; awardhelper:possible-inactive; nextcard:ordering-disabled
